"keys","en","vi"
"DED_PROTO_Z_PROTOC_FACT_SCANNER_RETURNED","The same log places the scanner being returned between 06:52 and 06:58.","Cùng cuốn sổ đó ghi thời điểm máy quét được trả lại trong khoảng từ 06:52 đến 06:58."
"DED_PROTO_Z_PROTOC_FACT_FENCE_AFTER_SEALING","The rear fence was cut at least a minute after the scanner was used to seal the parcel.","Hàng rào phía sau bị cắt ít nhất một phút sau khi máy quét được dùng để niêm phong kiện hàng."
"DED_PROTO_Z_PROTOC_FACT_FENCE_HEARD","The yard guard reports hearing wire snap sometime between 06:43 and 06:49.","Bảo vệ sân bãi cho biết đã nghe tiếng dây đứt trong khoảng từ 06:43 đến 06:49."
"DED_PROTO_Z_PROTOC_FACT_FENCE_NOT_DURING_ERRAND","The fence could not have been cut at the exact same moment the covered pallet was being moved.","Hàng rào không thể bị cắt đúng vào lúc pallet phủ bạt đang được chuyển đi."
"DED_PROTO_Z_PROTOC_FACT_PALLET_WINDOW","The dispatch manifest places the pallet move between 06:45 and 06:49.","Phiếu xuất hàng ghi thời điểm chuyển pallet trong khoảng từ 06:45 đến 06:49."
"DED_PROTO_Z_PROTOC_CONTRADICTION_EXP","Your confirmed timeline places the pallet move at %s — but Gus claims he wasn't anywhere near the yard after 06:30. Those can't both be true.","Trên mốc thời gian bạn đã xác nhận, việc chuyển pallet diễn ra lúc %s — nhưng Gus lại nói anh không hề ở gần sân bãi sau 06:30. Hai điều đó không thể cùng đúng."
"DED_PROTO_Z_PROTOC_COMPLETION","Your reconstructed timeline holds up under every confirmed fact — and it makes Gus's claim about staying away from the yard impossible.","Mốc thời gian bạn tái dựng đứng vững trước mọi sự kiện đã xác nhận — và nó khiến lời khai của Gus về việc tránh xa sân bãi trở nên không thể xảy ra."
"DED_PROTO_Z_PROTOC_HINT_1","Start with the two fixed anchors — the scanner seal and the ferry boarding scan — then work outward from them.","Hãy bắt đầu từ hai mốc cố định — lượt niêm phong bằng máy quét và lượt quét vé lên phà — rồi suy ra các sự kiện còn lại từ đó."
"DED_PROTO_Z_PROTOC_HINT_2","Nadia's claimed departure window only narrows down to a few minutes once you also account for how long the route to North Pier takes.","Khoảng thời gian Nadia nói cô rời đi chỉ thu hẹp còn vài phút khi bạn tính thêm thời gian đi đến Bến Bắc."
"DED_PROTO_Z_PROTOC_HINT_3","The fence can only have been cut after the scanner was used — and never at the exact same minute as the pallet move.","Hàng rào chỉ có thể bị cắt sau khi máy quét được dùng — và không bao giờ đúng vào phút mà việc chuyển pallet diễn ra."
"DED_PROTO_Z_PROTOC_HINT_4","Compare the pallet's own confirmed move window against when the fence was heard being cut — only one order of those two events fits every fact.","Hãy so sánh khoảng thời gian chuyển pallet đã xác nhận với thời điểm nghe thấy hàng rào bị cắt — chỉ có một thứ tự giữa hai sự kiện này khớp với mọi sự kiện đã biết."
"CASE_SBX_ARCHIVE_NAME","[Sandbox] The Archive Badge","[Thử nghiệm] Chiếc Thẻ Ở Kho Lưu Trữ"
"CASE_SBX_ARCHIVE_DESC","Non-canon technical sandbox chapter. Placeholder content that only proves the core loop works.","Chương thử nghiệm kỹ thuật, không thuộc cốt truyện. Nội dung tạm thời, chỉ để chứng minh vòng lặp chơi cốt lõi hoạt động."
"CHAPTER_SBX_01_NAME","Sandbox Chapter: The Archive Badge","Chương thử nghiệm: Chiếc Thẻ Ở Kho Lưu Trữ"
"CL_SBX_BRIEFING_TITLE","Briefing — The Archive Badge","Tóm tắt vụ việc — Chiếc Thẻ Ở Kho Lưu Trữ"
"CL_SBX_BRIEFING_TEXT","A confidential ledger vanished from Stack Room 3 of the city archive last night. The door log says archivist Mara Voss's staff badge opened the room at 20:06 — but Mara insists she was across town. Talk to the people still at the archive, examine what they left behind, and keep what you find in your Case File. When the pieces fit, connect them.","Đêm qua, một cuốn sổ cái mật đã biến mất khỏi Phòng Kho 3 của kho lưu trữ thành phố. Nhật ký cửa cho thấy thẻ nhân viên của nhân viên lưu trữ Mara Voss đã mở căn phòng lúc 20:06 — nhưng Mara khẳng định lúc đó cô đang ở đầu kia thành phố. Hãy nói chuyện với những người còn ở kho lưu trữ, xem xét những gì họ để lại và lưu những gì bạn tìm thấy vào Hồ sơ vụ án. Khi các mảnh ghép khớp nhau, hãy kết nối chúng."
"CL_SBX_RESULT_TITLE","Case closed — The Archive Badge","Khép lại vụ án — Chiếc Thẻ Ở Kho Lưu Trữ"
"CL_SBX_RESULT_TEXT","Step by step, the evening at the archive came back together:","Từng bước một, buổi tối ở kho lưu trữ đã được tái hiện:"
"CL_SBX_UNIT_B1_TITLE","Connect the clues: whose hand held the badge?","Kết nối manh mối: ai đã cầm chiếc thẻ?"
"CL_SBX_UNIT_A1_TITLE","Confront Oren","Đối chất với Oren"
"CL_SBX_UNIT_B2_TITLE","Connect the clues: how was the room entered?","Kết nối manh mối: căn phòng bị xâm nhập bằng cách nào?"
"CL_SBX_UNIT_C1_TITLE","Reconstruct the evening","Tái dựng buổi tối"
"CL_SBX_FINDING_B1","Mara was already at Harbor Station when her badge opened the stack room — someone else used it.","Mara đã ở ga Cảng khi thẻ của cô mở phòng kho — một người khác đã dùng nó."
"CL_SBX_FINDING_A1","Oren's denial fell apart: the lost-property sheet shows he signed out the cardigan with Mara's badge clipped on.","Lời chối của Oren sụp đổ: sổ đồ thất lạc cho thấy anh ta đã nhận chiếc áo cardigan có kẹp thẻ của Mara."
"CL_SBX_FINDING_B2","The window was forced from inside the room — the break-in was staged.","Cửa sổ bị phá từ bên trong phòng — vụ đột nhập đã được dàn dựng."
"CL_SBX_FINDING_C1_TIMELINE","The confirmed facts fit together into one consistent evening.","Các sự kiện đã xác nhận ghép lại thành một buổi tối nhất quán."
"CL_SBX_FINDING_C1_CLAIM","Ilse's account of leaving early could not be true — the timeline rules it out.","Lời kể về việc Ilse về sớm không thể đúng — dòng thời gian đã loại trừ điều đó."
"CL_SBX_OBJECTIVE_BRIEFING","Read the briefing.","Đọc bản tóm tắt vụ việc."
"CL_SBX_OBJECTIVE_INVESTIGATION_1","Find out whether Mara could have used her own badge at 20:06. Ask around and examine the records.","Tìm hiểu xem Mara có thể tự dùng thẻ của mình lúc 20:06 hay không. Hãy hỏi han và xem xét các hồ sơ."
"CL_SBX_OBJECTIVE_CONFRONTATION","Someone else used the badge. Press the people who were near it.","Một người khác đã dùng chiếc thẻ. Hãy chất vấn những ai đã ở gần nó."
"CL_SBX_OBJECTIVE_INVESTIGATION_2","The stack room window is open for a closer look now. Work out how the room was really entered.","Giờ đã có thể xem xét kỹ cửa sổ phòng kho. Hãy tìm ra căn phòng thực sự bị xâm nhập bằng cách nào."
"CL_SBX_OBJECTIVE_TIMELINE","Put the evening back in order.","Sắp xếp lại trình tự buổi tối."
"CL_SBX_OBJECTIVE_FINAL_CLAIM","Use the timeline you rebuilt to judge one last account.","Dùng dòng thời gian bạn đã dựng lại để đánh giá lời kể cuối cùng."
"EVID_SBX_DOOR_LOG_SHORT","When the stack room door opened, and with whose badge.","Cửa phòng kho mở lúc nào, bằng thẻ của ai."
"EVID_SBX_TRAM_TAP_SHORT","Where Mara's travel card was used that evening.","Thẻ đi tàu của Mara được dùng ở đâu tối hôm đó."
"EVID_SBX_HARBOR_PHOTO_SHORT","A photo of Mara at dinner.","Một bức ảnh Mara đang ăn tối."
"EVID_SBX_ROUTE_NOTE_SHORT","How long the trip from Harbor takes.","Chuyến đi từ khu Cảng mất bao lâu."
"EVID_SBX_LOST_PROPERTY_SHEET_SHORT","Who took what from lost property, and when.","Ai đã nhận gì từ quầy đồ thất lạc, và lúc nào."
"EVID_SBX_FORCED_WINDOW_SHORT","The stack room window, forced open.","Cửa sổ phòng kho bị phá mở."
"EVID_SBX_LATCH_GUIDE_SHORT","How a forced latch bends.","Chốt cửa bị phá sẽ cong theo hướng nào."
"EVID_SBX_WINDOW_LATCH_SHORT","Which way the latch is bent.","Chốt cửa sổ cong về phía nào."
"EVID_SBX_BACK_DOOR_SIGHTING_SHORT","What the night guard saw at the back door.","Bảo vệ đêm đã thấy gì ở cửa sau."
"EVID_SBX_SHREDDING_LOG_SHORT","A back-door pickup of shredded paper.","Một lần nhận giấy hủy ở cửa sau."
"LOC_SBX_LOBBY_NAME","Archive front desk","Quầy lễ tân kho lưu trữ"
"LOC_SBX_STACKS_WING_NAME","Stacks wing — Stack Room 3","Khu kho sách — Phòng Kho 3"
"LOC_SBX_MAINTENANCE_OFFICE_NAME","Maintenance office","Phòng bảo trì"
"LOC_SBX_TOPIC_MARA_GREETING","About the badge","Về chiếc thẻ"
"LOC_SBX_TOPIC_MARA_EVENING","Where she was that evening","Tối hôm đó cô ở đâu"
"LOC_SBX_TOPIC_MARA_PHOTO","Anyone who saw her at dinner?","Có ai thấy cô lúc ăn tối không?"
"LOC_SBX_TOPIC_ILSE_GREETING","The front desk","Quầy lễ tân"
"LOC_SBX_TOPIC_ILSE_LEFT_EARLY","When she left","Cô rời đi lúc nào"
"LOC_SBX_TOPIC_OREN_GREETING","His research visit","Chuyến nghiên cứu của anh ta"
"LOC_SBX_TOPIC_OREN_BADGE","Ask about Mara's badge","Hỏi về thẻ của Mara"
"LOC_SBX_EXAMINE_FRONT_DESK_LOG","Front desk logbook","Sổ ghi của quầy lễ tân"
"LOC_SBX_EXAMINE_TRANSIT_MAP","Transit map on the wall","Bản đồ giao thông trên tường"
"LOC_SBX_EXAMINE_NOTICEBOARD","Staff noticeboard","Bảng tin nhân viên"
"LOC_SBX_EXAMINE_DOOR_TERMINAL","Door security terminal","Máy an ninh ở cửa"
"LOC_SBX_EXAMINE_FORCED_WINDOW","The forced window","Cửa sổ bị phá"
"LOC_SBX_EXAMINE_WINDOW_LATCH","The window latch, up close","Chốt cửa sổ, nhìn gần"
"LOC_SBX_EXAMINE_REPAIR_SHELF","Repair manuals shelf","Kệ sách hướng dẫn sửa chữa"
"LOC_SBX_EXAMINE_PICKUP_CLIPBOARD","Pickup clipboard","Bảng kẹp giấy nhận hàng"
"LOC_SBX_DEST_STACKS_WING","Go to the stacks wing","Đến khu kho sách"
"LOC_SBX_DEST_MAINTENANCE_OFFICE","Go to the maintenance office","Đến phòng bảo trì"
"LOC_SBX_DEST_LOBBY","Back to the front desk","Quay lại quầy lễ tân"
"DLG_SBX_MARA_GREETING_1","My badge opened the stack room? I wasn't even here — I left long before that.","Thẻ của tôi mở phòng kho sao? Tôi còn không ở đây — tôi đã đi từ lâu trước đó."
"DLG_SBX_MARA_EVENING_1","I went to Harbor for dinner. Took the tram, like always.","Tôi đến khu Cảng ăn tối. Đi tàu điện, như mọi khi."
"DLG_SBX_MARA_EVENING_2","Here — you can check my travel card record yourself.","Đây — anh/chị có thể tự kiểm tra lịch sử thẻ đi tàu của tôi."
"DLG_SBX_MARA_PHOTO_1","My friend posted a photo of us at the grill. The harbor clock is right behind me.","Bạn tôi có đăng ảnh chúng tôi ở quán nướng. Đồng hồ khu Cảng ở ngay sau lưng tôi."
"DLG_SBX_MARA_PRESENT_GENERIC_1","I'm not sure what that has to do with me.","Tôi không chắc điều đó liên quan gì đến tôi."
"DLG_SBX_ILSE_GREETING_1","Front desk. The archive's closed, but the police asked me to wait here.","Quầy lễ tân đây. Kho lưu trữ đã đóng cửa, nhưng cảnh sát bảo tôi đợi ở đây."
"DLG_SBX_ILSE_LEFT_EARLY_1","Me? I locked the desk and went home at quarter to eight. I didn't see anything.","Tôi à? Tôi khóa quầy rồi về nhà lúc tám giờ kém mười lăm. Tôi không thấy gì cả."
"DLG_SBX_ILSE_PRESENT_GENERIC_1","I don't know anything about that, sorry.","Xin lỗi, tôi không biết gì về chuyện đó."
"DLG_SBX_OREN_GREETING_1","Oren Tal, visiting researcher. A terrible business — I only came for the old maps.","Oren Tal, nhà nghiên cứu khách. Chuyện thật tồi tệ — tôi chỉ đến để xem mấy tấm bản đồ cũ."
"DLG_SBX_OREN_BADGE_1","You ask Oren how Mara's badge could have opened the stack room while she was across town.","Bạn hỏi Oren làm sao thẻ của Mara có thể mở phòng kho trong khi cô ấy đang ở đầu kia thành phố."
"DLG_SBX_OREN_BADGE_2","How would I know? Ask me properly if you think I'm lying — I have nothing to hide.","Làm sao tôi biết được? Nếu nghĩ tôi nói dối thì cứ hỏi cho đàng hoàng — tôi chẳng có gì phải giấu."
"DLG_SBX_OREN_PRESENT_GENERIC_1","And? That proves nothing about me.","Rồi sao? Điều đó chẳng chứng minh được gì về tôi."
"DLG_SBX_EXAMINE_FRONT_DESK_LOG_1","Tucked in the logbook is Ilse's lost-property sheet. You copy it into your Case File.","Kẹp trong sổ ghi là tờ sổ đồ thất lạc của Ilse. Bạn chép nó vào Hồ sơ vụ án."
"DLG_SBX_EXAMINE_FRONT_DESK_LOG_AFTER_1","You already copied the lost-property sheet.","Bạn đã chép tờ sổ đồ thất lạc rồi."
"DLG_SBX_EXAMINE_TRANSIT_MAP_1","A note pinned to the transit map gives travel times from Harbor. You note it down.","Một ghi chú ghim trên bản đồ giao thông cho biết thời gian đi từ khu Cảng. Bạn ghi lại."
"DLG_SBX_EXAMINE_TRANSIT_MAP_AFTER_1","The travel times haven't changed.","Thời gian di chuyển không có gì thay đổi."
"DLG_SBX_EXAMINE_NOTICEBOARD_1","The night guard left a written account on the noticeboard. You take a copy.","Bảo vệ đêm để lại một bản tường trình trên bảng tin. Bạn lấy một bản sao."
"DLG_SBX_EXAMINE_NOTICEBOARD_AFTER_1","Nothing else on the board looks relevant.","Không còn gì trên bảng tin có vẻ liên quan."
"DLG_SBX_EXAMINE_DOOR_TERMINAL_1","The terminal prints the door log for Stack Room 3. You add it to your Case File.","Máy in ra nhật ký cửa của Phòng Kho 3. Bạn thêm nó vào Hồ sơ vụ án."
"DLG_SBX_EXAMINE_DOOR_TERMINAL_AFTER_1","The terminal shows the same door log.","Máy vẫn hiển thị cùng nhật ký cửa đó."
"DLG_SBX_EXAMINE_FORCED_WINDOW_1","You look over the forced window and the empty ledger shelf, and note what you see.","Bạn xem xét cửa sổ bị phá và kệ sổ cái trống trơn, rồi ghi lại những gì thấy được."
"DLG_SBX_EXAMINE_FORCED_WINDOW_AFTER_1","The window is just as you noted it.","Cửa sổ vẫn y như bạn đã ghi lại."
"DLG_SBX_EXAMINE_WINDOW_LATCH_1","Up close, you study the latch and note which way it is bent.","Nhìn gần, bạn xem xét chốt cửa và ghi lại nó cong về phía nào."
"DLG_SBX_EXAMINE_WINDOW_LATCH_AFTER_1","You have already noted the latch.","Bạn đã ghi lại chốt cửa rồi."
"DLG_SBX_EXAMINE_WINDOW_LATCH_LOCKED_1","The window is roped off. You'll need a better reason before anyone lets you near it.","Cửa sổ đã bị giăng dây. Bạn cần một lý do chính đáng hơn trước khi được đến gần."
"DLG_SBX_EXAMINE_REPAIR_SHELF_1","An illustrated window-repair guide explains how forced latches bend. You take it.","Một cuốn hướng dẫn sửa cửa sổ có hình minh họa giải thích chốt cửa bị phá sẽ cong ra sao. Bạn lấy nó."
"DLG_SBX_EXAMINE_REPAIR_SHELF_AFTER_1","The rest of the manuals are about plumbing.","Những cuốn còn lại đều nói về hệ thống ống nước."
"DLG_SBX_EXAMINE_PICKUP_CLIPBOARD_1","The shredding contractor's pickup log hangs here. You copy the last entry.","Sổ nhận hàng của bên thu gom giấy hủy treo ở đây. Bạn chép lại dòng cuối cùng."
"DLG_SBX_EXAMINE_PICKUP_CLIPBOARD_AFTER_1","No newer entries on the clipboard.","Không có dòng mới nào trên bảng kẹp."
"UI_CORE_LOOP_A_EVIDENCE","Evidence you can present","Vật chứng có thể đưa ra"
"UI_CORE_LOOP_A_NONE_SELECTED","No evidence chosen yet.","Chưa chọn vật chứng nào."
"UI_CORE_LOOP_A_PRESENT","Present evidence","Đưa ra vật chứng"
"UI_CORE_LOOP_A_PROMPT","Pick the statement you can disprove, then choose the one piece of evidence that shows it's false.","Chọn lời khai mà bạn có thể bác bỏ, rồi chọn một vật chứng cho thấy lời khai đó sai."
"UI_CORE_LOOP_A_REFUTED","(contradicted)","(đã bị bác bỏ)"
"UI_CORE_LOOP_A_SELECT","Choose","Chọn"
"UI_CORE_LOOP_A_SELECTED","Chosen: %s","Đã chọn: %s"
"UI_CORE_LOOP_A_TESTIMONY","Testimony","Lời khai"
"UI_CORE_LOOP_B_COMMIT","Connect these clues","Kết nối các manh mối này"
"UI_CORE_LOOP_B_DRAFT_NOTE","Your draft is kept if you leave. Only ""Connect these clues"" counts as an attempt.","Bản nháp của bạn được giữ lại khi rời đi. Chỉ ""Kết nối các manh mối này"" mới được tính là một lần thử."
"UI_CORE_LOOP_B_POOL","Clues from your Case File","Manh mối từ Hồ sơ vụ án"
"UI_CORE_LOOP_B_SLOT","Clue %d:","Manh mối %d:"
"UI_CORE_LOOP_B_SLOT_EMPTY","— empty —","— trống —"
"UI_CORE_LOOP_B_SLOTS","Your connection (%d/%d clues)","Mối liên kết của bạn (%d/%d manh mối)"
"UI_CORE_LOOP_BRIEFING_CONTINUE","Begin investigating","Bắt đầu điều tra"
"UI_CORE_LOOP_C_CHECK","Check timeline","Kiểm tra dòng thời gian"
"UI_CORE_LOOP_C_CLAIM_HEADER","One last account","Lời kể cuối cùng"
"UI_CORE_LOOP_C_DURATION","(%d min)","(%d phút)"
"UI_CORE_LOOP_C_EVENTS","Events","Sự kiện"
"UI_CORE_LOOP_C_FACT_CLOSED","A confirmed fact (not read yet)","Một sự kiện đã xác nhận (chưa đọc)"
"UI_CORE_LOOP_C_FACTS","Confirmed facts","Các sự kiện đã xác nhận"
"UI_CORE_LOOP_C_FITS","Fits the timeline","Khớp với dòng thời gian"
"UI_CORE_LOOP_C_FIXED","(fixed at %s)","(cố định lúc %s)"
"UI_CORE_LOOP_C_IMPOSSIBLE","Impossible","Không thể xảy ra"
"UI_CORE_LOOP_C_PLACED","— at %s","— lúc %s"
"UI_CORE_LOOP_C_SUBMIT","Submit verdict","Gửi kết luận"
"UI_CORE_LOOP_C_SUPPORT","Which confirmed fact settles it?","Sự kiện đã xác nhận nào quyết định điều đó?"
"UI_CORE_LOOP_C_UNPLACED","— not placed yet","— chưa đặt"
"UI_CORE_LOOP_C_UNPLACED_COUNT","%d event(s) still to place.","Còn %d sự kiện chưa đặt."
"UI_CORE_LOOP_CANCEL","Cancel","Hủy"
"UI_CORE_LOOP_CASE_FILE_BUTTON","Case File","Hồ sơ vụ án"
"UI_CORE_LOOP_CASE_FILE_TITLE","Case File","Hồ sơ vụ án"
"UI_CORE_LOOP_CHAPTER_DONE","The chapter is complete.","Chương đã hoàn thành."
"UI_CORE_LOOP_CHOSEN_TAG","chosen","đã chọn"
"UI_CORE_LOOP_CLAIM_ACCEPTED","Your verdict stands.","Kết luận của bạn đứng vững."
"UI_CORE_LOOP_CLAIM_REJECTED","That verdict doesn't stand up.","Kết luận đó chưa đứng vững."
"UI_CORE_LOOP_CLOSE","Close","Đóng"
"UI_CORE_LOOP_CONFIRM","Confirm","Xác nhận"
"UI_CORE_LOOP_CONFIRM_RESTART","Start this chapter over from the briefing? This replaces your saved game.","Bắt đầu lại chương này từ phần tóm tắt? Việc này sẽ thay thế bản lưu hiện tại."
"UI_CORE_LOOP_CONTINUE","Continue","Tiếp tục"
"UI_CORE_LOOP_ERROR","This chapter could not be loaded safely. Return to the main menu and start a new game.","Không thể tải chương này một cách an toàn. Hãy quay lại menu chính và bắt đầu ván mới."
"UI_CORE_LOOP_EVIDENCE_EMPTY","No evidence yet. Examine things and talk to people to fill your Case File.","Chưa có vật chứng nào. Hãy xem xét đồ vật và trò chuyện với mọi người để bổ sung Hồ sơ vụ án."
"UI_CORE_LOOP_EVIDENCE_HEADER","Evidence","Vật chứng"
"UI_CORE_LOOP_EXPORT","Export evaluation log","Xuất nhật ký đánh giá"
"UI_CORE_LOOP_EXPORT_FAILED","The evaluation log could not be saved. Your game is unaffected.","Không thể lưu nhật ký đánh giá. Ván chơi của bạn không bị ảnh hưởng."
"UI_CORE_LOOP_EXPORTED","Evaluation log saved to %s","Đã lưu nhật ký đánh giá tại %s"
"UI_CORE_LOOP_FINDING_PARTNER","(worked through with your partner)","(cùng cộng sự giải quyết)"
"UI_CORE_LOOP_FINDINGS_EMPTY","Nothing established yet.","Chưa xác lập được điều gì."
"UI_CORE_LOOP_FINDINGS_HEADER","What you've established","Những điều bạn đã xác lập"
"UI_CORE_LOOP_HINT_BUTTON","Reveal a hint","Xem gợi ý"
"UI_CORE_LOOP_HINT_NOTE","Hints reveal one step at a time.","Gợi ý được hé lộ từng bước một."
"UI_CORE_LOOP_HINTS_HEADER","Hints","Gợi ý"
"UI_CORE_LOOP_MENU","Main menu","Menu chính"
"UI_CORE_LOOP_NEW_EVIDENCE","Added to your Case File: %s","Đã thêm vào Hồ sơ vụ án: %s"
"UI_CORE_LOOP_NON_CANON","Non-canon technical sandbox — placeholder people, places and text.","Bản thử nghiệm kỹ thuật không thuộc cốt truyện — nhân vật, địa điểm và lời thoại đều là tạm thời."
"UI_CORE_LOOP_OBJECTIVE","Objective: %s","Mục tiêu: %s"
"UI_CORE_LOOP_OPEN_UNIT","Work on it: %s","Giải quyết: %s"
"UI_CORE_LOOP_PIN","Pin to top","Ghim lên đầu"
"UI_CORE_LOOP_PINNED_TAG","(pinned)","(đã ghim)"
"UI_CORE_LOOP_PLACE","Place","Đặt vào"
"UI_CORE_LOOP_PLACED_TAG","placed","đã đặt"
"UI_CORE_LOOP_READ","Read","Đọc"
"UI_CORE_LOOP_REMOVE","Remove","Bỏ ra"
"UI_CORE_LOOP_RESTART","Restart chapter","Chơi lại chương"
"UI_CORE_LOOP_RETURN","Back to investigation","Quay lại điều tra"
"UI_CORE_LOOP_SANDBOX_BADGE","Non-canon sandbox","Bản thử nghiệm"
"UI_CORE_LOOP_SAVE_FAILED","Progress could not be saved to disk. You can keep playing.","Không thể lưu tiến trình xuống đĩa. Bạn vẫn có thể tiếp tục chơi."
"UI_CORE_LOOP_SELECT_EVIDENCE_PROMPT","Select an item to read it.","Chọn một mục để đọc."
"UI_CORE_LOOP_TIMELINE_ACCEPTED","The timeline holds together.","Dòng thời gian đã khớp."
"UI_CORE_LOOP_TIMELINE_REJECTED","The timeline doesn't hold together yet.","Dòng thời gian vẫn chưa khớp."
"UI_CORE_LOOP_UNIT_DONE","You've already worked that out.","Bạn đã giải quyết điều đó rồi."
"UI_CORE_LOOP_UNIT_LOCKED","Keep investigating — you don't have enough to work with yet.","Hãy tiếp tục điều tra — bạn chưa có đủ thông tin để làm việc."
"UI_CORE_LOOP_UNIT_NOT_YET","That isn't something you can work on right now.","Đó không phải là việc bạn có thể làm lúc này."
"UI_CORE_LOOP_UNIT_UNAVAILABLE","That isn't available right now.","Điều đó hiện chưa khả dụng."
"UI_CORE_LOOP_UNPIN","Unpin","Bỏ ghim"
"UI_CORE_LOOP_UNREAD_TAG","(unread)","(chưa đọc)"
"UI_MENU_CONFIRM_NEW_GAME","Start over? Your current progress in this game will be replaced.","Bắt đầu lại? Tiến trình hiện tại của ván này sẽ bị thay thế."
"UI_TITLE_CONFIRM_NEW_GAME","Start a new game? Your saved progress will be replaced.","Bắt đầu ván mới? Tiến trình đã lưu sẽ bị thay thế."
"UI_TITLE_SAVE_UNREADABLE","Your saved game could not be read, so it can't be continued. Start a new game to play.","Không thể đọc bản lưu của bạn nên không thể tiếp tục. Hãy bắt đầu ván mới để chơi."
